Species,Water,CNMs,Dimension,Shape,Length,Diameter,Thickness,Medium,RPM,Modification,Dispersant,Duration,LightI,Temperature,LightD,Conc.,N,Chlorophyll
3,0,3,1,3,12500,15,15,3,NA,4,0,48,NA,25,14,1,780000,93.66576819
8,0,3,1,3,1250,15,15,3,130,4,0,360,2224,25,24,15,NA,93.68421053
6,1,2,2,2,3000,3000,1,5,0,6,0,72,6000,23,14,0.5,898466257.7,93.71096274
3,0,3,1,3,12500,15,15,3,NA,4,0,72,NA,25,14,0.1,780000,93.8034188
6,1,2,2,2,3000,3000,1,5,0,6,0,96,6000,23,14,0.1,898466257.7,93.97184216
9,1,2,2,2,1500,1500,NA,5,NA,6,0,120,5560,18,12,0.5,837000,94.17344173
5,0,2,2,2,2750,2750,1,3,0,6,2,96,NA,25,16,0.1,550000,94.18587784
6,1,2,2,2,3000,3000,1,5,0,6,0,72,6000,23,14,0.2,898466257.7,94.31402111
6,1,2,2,2,3000,3000,1,5,0,6,0,48,6000,23,14,1,898466257.7,94.40559441
6,1,2,2,2,3000,3000,1,5,0,6,0,24,6000,23,14,0.1,898466257.7,94.83530962
6,1,2,2,2,3000,3000,1,5,0,6,0,48,6000,23,14,5,898466257.7,95.08078129
5,0,3,1,3,1750,1.5,1.5,3,NA,5,0,96,NA,24,24,0.1,64800,95.40816327
5,0,2,2,2,1500,1500,1.1,3,0,6,0,96,NA,25,16,0.1,NA,95.5026455
3,0,3,1,3,12500,15,15,3,NA,4,0,96,NA,25,14,0.01,780000,95.57796742
8,0,3,1,3,50000,11.5,11.5,3,130,7,0,648,2224,25,24,15,NA,95.67307692
10,1,3,1,3,20000,25,25,6,0,4,3,24,6672,22,24,10,NA,95.83975347
5,0,2,2,2,2750,2750,1,3,0,6,0,96,NA,25,16,0.1,550000,95.85365854
8,0,3,1,3,1250,15,15,3,130,4,0,576,2224,25,24,15,NA,96.06625259
5,0,2,2,2,NA,NA,NA,3,0,3,1,96,NA,24,24,0.1,50000,96.0950764
8,0,3,1,3,1250,15,15,3,130,4,0,720,2224,25,24,15,NA,96.2962963
5,0,2,2,2,3000,3000,0.9,3,NA,6,0,96,NA,24,24,10,65000,96.3
5,0,2,2,2,2750,2750,1,3,NA,6,0,96,NA,24,24,10,64800,96.49458254
5,0,3,1,3,1750,1.5,1.5,3,NA,5,0,96,NA,24,24,0.01,64800,96.55612245
6,1,2,2,2,3000,3000,1,5,0,6,0,48,6000,23,14,0.5,898466257.7,96.81697613
1,0,2,2,2,2750,2750,1,3,0,6,0,72,5000,25,12,5,NA,96.9
4,0,3,1,3,50000,30,30,3,0,4,0,72,2000,25,12,10,334095.0099,97.16091176
1,0,0,0,1,10,10,10,2,NA,4,0,96,4000,25,12,10,20000,97.36495389
10,1,3,1,3,20000,25,25,6,0,4,3,24,6672,22,24,5,NA,97.68875193
6,1,2,2,2,3000,3000,1,5,0,6,0,24,6000,23,14,2,898466257.7,97.89196311
6,1,2,2,2,3000,3000,1,5,0,6,0,48,6000,23,14,2,898466257.7,97.97443935
4,0,2,2,2,NA,NA,NA,3,0,6,0,96,2000,25,12,20,2270000,98.01551506
5,0,2,2,2,1500,1500,1.1,3,0,6,0,96,NA,25,16,1,NA,98.14814815
5,0,2,2,2,2750,2750,1,3,0,6,0,96,NA,25,16,1,550000,98.29268293
8,0,3,1,3,50000,11.5,11.5,3,130,7,0,216,2224,25,24,15,NA,98.52941176
6,1,2,2,2,3000,3000,1,5,0,6,0,24,6000,23,14,1,898466257.7,98.62977602
7,0,3,1,3,1250,11.5,11.5,4,0,4,0,96,NA,20,12,40,1600000,98.63481229
4,0,2,2,2,1140,1140,NA,1,60,6,0,96,1212.5,28,24,1,2.00E+06,98.8005997
8,0,3,1,3,50000,11.5,11.5,3,130,7,0,720,2224,25,24,15,NA,98.90260631
1,0,0,0,1,10,10,10,2,NA,4,0,72,4000,25,12,10,20000,98.92818864
4,0,2,2,2,NA,NA,NA,3,0,6,0,96,2000,25,12,15,2270000,98.93559444
5,0,2,2,2,1500,1500,1.1,3,0,6,0,96,NA,25,16,0.01,NA,98.94179894
8,0,2,2,2,NA,NA,2.09,3,130,4,0,216,2224,25,24,15,NA,99.01960784
5,0,2,2,2,2750,2750,1,3,0,6,0,96,NA,25,16,0.01,550000,99.02439024
5,0,2,2,2,1500,1500,1.1,3,0,6,0,96,NA,25,16,0.001,NA,99.20634921
8,0,2,2,2,NA,NA,2.09,3,130,4,0,72,2224,25,24,15,NA,99.28571429
6,1,2,2,2,3000,3000,1,5,0,6,0,48,6000,23,14,0.2,898466257.7,99.42126839
4,0,2,2,2,NA,NA,NA,3,NA,6,0,96,NA,25,12,1,NA,99.50248756
5,0,2,2,2,2750,2750,1,3,0,6,0,96,NA,25,16,0.001,550000,99.51219512
5,0,2,2,2,2750,2750,1,3,0,6,2,96,NA,25,16,1,550000,99.53267439
6,1,2,2,2,3000,3000,1,5,0,6,0,24,6000,23,14,0.5,898466257.7,99.57839262
3,0,3,1,3,12500,15,15,3,NA,4,0,48,NA,25,14,0.01,780000,99.59568733
4,0,2,2,2,NA,NA,NA,3,0,6,0,96,2000,25,12,5,2270000,99.65722533
10,1,3,1,3,20000,25,25,6,0,4,3,48,6672,22,24,10,NA,99.6763754
5,0,2,2,2,2750,2750,1,3,0,6,1,96,NA,25,16,0.01,550000,99.7
4,0,2,2,2,NA,NA,NA,3,0,6,0,96,2000,25,12,10,2270000,99.72938842
1,0,0,0,1,10,10,10,2,NA,4,0,96,4000,25,12,5,20000,99.80237154
4,0,3,1,3,224,16.8,16.8,1,60,4,0,24,1212.5,28,24,0,2.00E+06,100
4,0,3,1,3,224,16.8,16.8,1,60,4,0,96,1212.5,28,24,0,2.00E+06,100
4,0,2,2,2,1140,1140,NA,1,60,6,0,24,1212.5,28,24,0,2.00E+06,100
4,0,2,2,2,1140,1140,NA,1,60,6,0,96,1212.5,28,24,0,2.00E+06,100
10,1,3,1,3,20000,25,25,6,0,4,0,24,6672,22,24,0,NA,100
10,1,3,1,3,20000,25,25,6,0,4,0,48,6672,22,24,0,NA,100
10,1,3,1,3,20000,25,25,6,0,4,0,72,6672,22,24,0,NA,100
10,1,3,1,3,20000,25,25,6,0,4,0,168,6672,22,24,0,NA,100
5,0,1,3,0,208.295,208.295,208.295,3,150,4,0,72,5560,25,14,0,1.00E+06,100
5,0,1,3,0,208.295,208.295,208.295,3,150,4,0,72,5560,25,14,0,1.00E+06,100
5,0,1,3,0,208.295,208.295,208.295,3,150,4,0,72,5560,25,14,0,1.00E+06,100
2,0,0,0,1,NA,NA,NA,3,0,1,0,48,4000,25,12,0,2500000,100
2,0,0,0,1,NA,NA,NA,3,0,1,0,96,4000,25,12,0,2500000,100
2,0,0,0,1,NA,NA,NA,3,0,1,0,144,4000,25,12,0,2500000,100
2,0,0,0,1,NA,NA,NA,3,0,2,0,48,4000,25,12,0,2500000,100
2,0,0,0,1,NA,NA,NA,3,0,2,0,96,4000,25,12,0,2500000,100
2,0,0,0,1,NA,NA,NA,3,0,2,0,144,4000,25,12,0,2500000,100
2,0,0,0,1,NA,NA,NA,3,0,4,0,48,4000,25,12,0,2500000,100
2,0,0,0,1,NA,NA,NA,3,0,4,0,96,4000,25,12,0,2500000,100
2,0,0,0,1,NA,NA,NA,3,0,4,0,144,4000,25,12,0,2500000,100
8,0,3,1,3,50000,11.5,11.5,3,130,7,0,72,2224,25,24,15,NA,100
8,0,2,2,2,NA,NA,2.09,3,130,4,0,72,2224,25,24,0,NA,100
8,0,2,2,2,NA,NA,2.09,3,130,4,0,144,2224,25,24,0,NA,100
8,0,2,2,2,NA,NA,2.09,3,130,4,0,216,2224,25,24,0,NA,100
8,0,2,2,2,NA,NA,2.09,3,130,4,0,288,2224,25,24,0,NA,100
